customer_id,total_spend,total_orders,days_since_last_purchase,customer_status
18239.0,1561.61,5,218,At-Risk VIP
12818.0,1542.08,1,261,At-Risk VIP
15625.0,1534.26,4,103,At-Risk VIP
16244.0,1522.75,2,211,At-Risk VIP
14267.0,1516.24,3,162,At-Risk VIP
13791.0,1516.0,2,127,At-Risk VIP
15265.0,1506.12,2,150,At-Risk VIP
14414.0,1496.98,7,91,At-Risk VIP
16755.0,1496.83,3,113,At-Risk VIP
15057.0,1489.5,2,274,At-Risk VIP
17553.0,1487.6,1,129,At-Risk VIP
14758.0,1484.06,4,144,At-Risk VIP
14403.0,1475.81,4,129,At-Risk VIP
14246.0,1474.06,3,110,At-Risk VIP
14875.0,1465.32,2,107,At-Risk VIP
14740.0,1448.21,3,196,At-Risk VIP
14566.0,1432.0,1,110,At-Risk VIP
16503.0,1431.93,4,106,At-Risk VIP
13475.0,1431.78,4,190,At-Risk VIP
15596.0,1406.59,5,100,At-Risk VIP
17083.0,1405.78,3,108,At-Risk VIP
18202.0,1396.99,3,199,At-Risk VIP
13414.0,1390.5,3,133,At-Risk VIP
13572.0,1384.25,1,205,At-Risk VIP
15569.0,1375.71,5,103,At-Risk VIP
15095.0,1370.6,4,103,At-Risk VIP
12770.0,1351.45,1,210,At-Risk VIP
14154.0,1345.62,2,238,At-Risk VIP
16317.0,1341.65,3,119,At-Risk VIP
16045.0,1340.7,4,119,At-Risk VIP
13501.0,1340.32,1,287,At-Risk VIP
15734.0,1339.45,2,114,At-Risk VIP
15146.0,1327.16,2,164,At-Risk VIP
16083.0,1317.62,2,100,At-Risk VIP
14973.0,1314.45,3,106,At-Risk VIP
13328.0,1308.48,1,315,At-Risk VIP
12507.0,1304.81,3,133,At-Risk VIP
15813.0,1303.91,2,207,At-Risk VIP
15108.0,1300.25,4,141,At-Risk VIP
15171.0,1289.5,1,330,At-Risk VIP
16951.0,1277.75,3,134,At-Risk VIP
16692.0,1276.0,2,255,At-Risk VIP
14669.0,1269.99,3,241,At-Risk VIP
13492.0,1269.84,3,135,At-Risk VIP
14105.0,1266.23,1,238,At-Risk VIP
16842.0,1264.19,3,100,At-Risk VIP
13151.0,1257.87,1,295,At-Risk VIP
13848.0,1255.0,3,91,At-Risk VIP
15004.0,1246.32,1,146,At-Risk VIP
17588.0,1240.2,3,99,At-Risk VIP
13476.0,1238.47,2,178,At-Risk VIP
13931.0,1237.53,2,95,At-Risk VIP
17774.0,1225.41,4,96,At-Risk VIP
14745.0,1220.26,5,112,At-Risk VIP
13158.0,1201.06,4,94,At-Risk VIP
17320.0,1200.62,3,99,At-Risk VIP
13752.0,1186.28,6,123,At-Risk VIP
18168.0,1169.94,6,175,At-Risk VIP
16714.0,1161.53,3,218,At-Risk VIP
13744.0,1156.36,2,94,At-Risk VIP
12710.0,1149.02,3,96,At-Risk VIP
17505.0,1145.84,2,161,At-Risk VIP
16766.0,1145.6,2,272,At-Risk VIP
12769.0,1143.6,1,238,At-Risk VIP
17770.0,1143.27,5,198,At-Risk VIP
15985.0,1142.42,2,122,At-Risk VIP
16270.0,1141.24,1,352,At-Risk VIP
13330.0,1140.93,3,92,At-Risk VIP
13819.0,1140.35,3,301,At-Risk VIP
16172.0,1140.21,5,94,At-Risk VIP
17242.0,1135.04,2,107,At-Risk VIP
17585.0,1133.07,4,108,At-Risk VIP
16807.0,1121.59,3,142,At-Risk VIP
14276.0,1119.74,3,98,At-Risk VIP
15716.0,1118.81,4,145,At-Risk VIP
14161.0,1110.52,3,215,At-Risk VIP
14817.0,1110.34,2,199,At-Risk VIP
15069.0,1109.53,1,178,At-Risk VIP
12399.0,1108.65,4,118,At-Risk VIP
12857.0,1106.4,2,210,At-Risk VIP
14410.0,1105.07,9,91,At-Risk VIP
12534.0,1089.18,1,130,At-Risk VIP
12354.0,1079.4,1,231,At-Risk VIP
13715.0,1079.34,5,280,At-Risk VIP
14352.0,1078.96,4,156,At-Risk VIP
16980.0,1078.96,2,254,At-Risk VIP
17277.0,1065.35,2,227,At-Risk VIP
12815.0,1063.46,2,147,At-Risk VIP
14411.0,1063.0,1,310,At-Risk VIP
16214.0,1062.75,3,170,At-Risk VIP
14465.0,1058.62,3,246,At-Risk VIP
14224.0,1050.12,4,109,At-Risk VIP
14078.0,1049.37,6,101,At-Risk VIP
15464.0,1048.85,1,337,At-Risk VIP
15777.0,1047.11,4,240,At-Risk VIP
16520.0,1046.57,3,185,At-Risk VIP
15192.0,1044.32,3,119,At-Risk VIP
14584.0,1042.26,4,168,At-Risk VIP
16320.0,1038.46,2,171,At-Risk VIP
16175.0,1037.59,4,93,At-Risk VIP
13235.0,1031.07,1,211,At-Risk VIP
12717.0,1030.98,2,150,At-Risk VIP
13253.0,1030.4,2,156,At-Risk VIP
15333.0,1028.56,1,207,At-Risk VIP
15104.0,1027.44,2,196,At-Risk VIP
15658.0,1024.1,5,189,At-Risk VIP
14346.0,1021.58,2,120,At-Risk VIP
13376.0,1019.76,3,98,At-Risk VIP
18142.0,1019.52,2,156,At-Risk VIP
12514.0,1017.68,1,266,At-Risk VIP
14195.0,1012.0,2,201,At-Risk VIP
16572.0,1009.6,3,126,At-Risk VIP
16174.0,1009.55,3,125,At-Risk VIP
17646.0,1008.39,3,218,At-Risk VIP
17126.0,1004.75,5,151,At-Risk VIP
15508.0,1000.27,6,188,At-Risk VIP
18143.0,1000.16,2,116,At-Risk VIP
